doi	title	journal	pub_date	abstract_crossref	authors	url	subjects	citation_count	type	abstract	matched_interest_keywords	matched_generic_keywords	matched_keywords_display	matched_user_interest	interest_keyword_score	generic_keyword_count	journal_score	generic_bioinfo_score	citation_bonus	abstract_bonus	bonus_score	impact_score	generic_signal_tmp	keep_candidate	why_it_matters	major_discoveries	significance
10.1038/s41592-026-03057-2	CREsted: modeling genomic and synthetic cell-type-specific enhancers across tissues and species	Nature Methods	2026-04-02	Abstract Sequence-based deep learning models have become the state of the art for analyzing the genomic regulatory code. Particularly for enhancers, these models excel at deciphering sequence grammar that underlies their activity. To enable end-to-end enhancer modeling and design, we developed a software package called CREsted ( cis -regulatory element sequence training, explanation and design). It combines preprocessing and analysis of single-cell assay for transposase-accessible chromatin using sequencing data, modeling chromatin accessibility from sequence, sequence design and downstream analysis to decipher enhancer grammar. We demonstrate CREsted’s functionality on a mouse cortex and a human peripheral blood mononuclear cell dataset. Additionally, we use CREsted to compare mesenchymal-like cancer cell states between tumor types, and we investigate different fine-tuning strategies of genomic foundation models within CREsted. Finally, we train a model on a zebrafish development atlas and use this to design and in vivo validate cell-type-specific enhancers. For varying datasets, we demonstrate that CREsted facilitates efficient training and analyses, enabling scrutinization of the enhancer logic and design of synthetic enhancers across tissues and species.	Niklas Kempynck; Seppe De Winter; Casper H. Blaauw; Vasileios Konstantakos; Eren Can Ekşi; Sam Dieltiens; Darina Abaffyová; Valérie Bercier; Ibrahim I. Taskiran; Gert Hulselmans; Katina Spanier; Valerie Christiaens	https://doi.org/10.1038/s41592-026-03057-2		0	journal-article	Sequence-based deep learning models have become the state of the art for analyzing the genomic regulatory code. Particularly for enhancers, these models excel at deciphering sequence grammar that underlies their activity. To enable end-to-end enhancer modeling and design, we developed a software package called CREsted (cis-regulatory element sequence training, explanation and design). It combines preprocessing and analysis of single-cell assay for transposase-accessible chromatin using sequencing data, modeling chromatin accessibility from sequence, sequence design and downstream analysis to decipher enhancer grammar. We demonstrate CREsted's functionality on a mouse cortex and a human peripheral blood mononuclear cell dataset. Additionally, we use CREsted to compare mesenchymal-like cancer cell states between tumor types, and we investigate different fine-tuning strategies of genomic foundation models within CREsted. Finally, we train a model on a zebrafish development atlas and use this to design and in vivo validate cell-type-specific enhancers. For varying datasets, we demonstrate that CREsted facilitates efficient training and analyses, enabling scrutinization of the enhancer logic and design of synthetic enhancers across tissues and species.		foundation model; atlas; single-cell; software; deep learning	foundation model; atlas; single-cell; software; deep learning	False	0.0	5.0	9.5	14.2	0.0	1.0	0.0	24.7	14.2	True	Sequence-based deep learning models have become the state of the art for analyzing the genomic regulatory code.	Particularly for enhancers, these models excel at deciphering sequence grammar that underlies their activity. To enable end-to-end enhancer modeling and design, we developed a software package called CREsted (cis-regulatory element sequence training, explanation and design).	Matched keywords: foundation model; atlas; single-cell; software; deep learning. Likely relevant to single-cell analysis workflows. Likely important for AI-driven bioinformatics. Builds an atlas-scale reference or dataset. Likely offers methodological or software impact.
10.1038/s43588-026-00972-4	Scaling and quantization of large-scale foundation model enables resource-efficient predictions in network biology	Nature Computational Science	2026-03-27	Abstract Foundation models for network biology are pretrained on large-scale biological data to enable context-aware predictions in a diverse array of downstream tasks through transfer learning. However, increasing model sizes with the expansion of available pretraining data also increases the computational resources required for fine-tuning and inference in downstream applications. Here we first assemble a corpus comprising ~104 million human single-cell transcriptomes from a broad range of tissues and diseases and pretrain successively larger models, defining the scaling laws for transcriptional masked learning. We then demonstrate that model quantization preserves the contextual gene and cell embedding space of the full-precision model, matching performance in zero-shot and fine-tuning applications while requiring only 15% of the time and 34% of the memory as the full model for fine-tuning with the same batch size. Overall, model quantization represents an effective method for resource-efficient fine-tuning and inference while preserving biological knowledge.	Han Chen; Madhavan S. Venkatesh; Javier Gόmez Ortega; Siddharth V. Mahesh; Tarak N. Nandi; Ravi K. Madduri; Karin Pelka; Christina V. Theodoris	https://doi.org/10.1038/s43588-026-00972-4		0	journal-article	Foundation models for network biology are pretrained on large-scale biological data to enable context-aware predictions in a diverse array of downstream tasks through transfer learning. However, increasing model sizes with the expansion of available pretraining data also increases the computational resources required for fine-tuning and inference in downstream applications. Here we first assemble a corpus comprising ~104 million human single-cell transcriptomes from a broad range of tissues and diseases and pretrain successively larger models, defining the scaling laws for transcriptional masked learning. We then demonstrate that model quantization preserves the contextual gene and cell embedding space of the full-precision model, matching performance in zero-shot and fine-tuning applications while requiring only 15% of the time and 34% of the memory as the full model for fine-tuning with the same batch size. Overall, model quantization represents an effective method for resource-efficient fine-tuning and inference while preserving biological knowledge.		foundation model; resource; single-cell; computational	foundation model; resource; single-cell; computational	False	0.0	4.0	8.4	11.2	0.0	1.0	1.0	21.6	11.2	True	Foundation models for network biology are pretrained on large-scale biological data to enable context-aware predictions in a diverse array of downstream tasks through transfer learning.	However, increasing model sizes with the expansion of available pretraining data also increases the computational resources required for fine-tuning and inference in downstream applications. Here we first assemble a corpus comprising ~104 million human single-cell transcriptomes from a broad range of tissues and diseases and pretrain successively larger models, defining the scaling laws for transcriptional masked learning.	Matched keywords: foundation model; resource; single-cell; computational. Introduces a reusable community resource. Likely relevant to single-cell analysis workflows. Likely important for AI-driven bioinformatics. Likely offers methodological or software impact.
10.1038/s41592-026-03050-9	Compressing the collective knowledge of ESM into a single protein language model	Nature Methods	2026-03-30	Abstract Protein language models (PLMs) have recently emerged as a promising approach for next-generation variant-effect prediction (VEP). Most high-performing VEP methods currently utilize PLMs combined with additional information, such as homology, protein structure and population genetics data to improve prediction accuracy. This performance gain, however, comes with added complexity or limited applicability compared to pure PLMs trained only on raw, unaligned sequences, such as evolutionary scale modeling (ESM). Here we challenge the prevailing view that sequence-only PLMs are intrinsically limited and present an efficient co-distillation approach to adapt them for high-accuracy VEP without requiring additional information beyond evolutionary signals captured during pretraining. We allow individual PLMs to self-improve by distilling the most confident predictions from multiple models of the same family and demonstrate that co-distillation of ESM models suffices to achieve state-of-the-art performance across multiple VEP benchmarks. We further show that this performance increase enables accurate quantification of the severity of variant effects on continuous clinical phenotypes in biobank data.	Tuan Dinh; Seon-Kyeong Jang; Noah Zaitlen; Vasilis Ntranos	https://doi.org/10.1038/s41592-026-03050-9		0	journal-article	Protein language models (PLMs) have recently emerged as a promising approach for next-generation variant-effect prediction (VEP). Most high-performing VEP methods currently utilize PLMs combined with additional information, such as homology, protein structure and population genetics data to improve prediction accuracy. This performance gain, however, comes with added complexity or limited applicability compared to pure PLMs trained only on raw, unaligned sequences, such as evolutionary scale modeling (ESM). Here we challenge the prevailing view that sequence-only PLMs are intrinsically limited and present an efficient co-distillation approach to adapt them for high-accuracy VEP without requiring additional information beyond evolutionary signals captured during pretraining. We allow individual PLMs to self-improve by distilling the most confident predictions from multiple models of the same family and demonstrate that co-distillation of ESM models suffices to achieve state-of-the-art performance across multiple VEP benchmarks. We further show that this performance increase enables accurate quantification of the severity of variant effects on continuous clinical phenotypes in biobank data.		language model; benchmark; methods; protein structure	language model; benchmark; methods; protein structure	False	0.0	4.0	9.5	10.8	0.0	1.0	0.0	21.3	10.8	True	Protein language models (PLMs) have recently emerged as a promising approach for next-generation variant-effect prediction (VEP).	Most high-performing VEP methods currently utilize PLMs combined with additional information, such as homology, protein structure and population genetics data to improve prediction accuracy. This performance gain, however, comes with added complexity or limited applicability compared to pure PLMs trained only on raw, unaligned sequences, such as evolutionary scale modeling (ESM).	Matched keywords: language model; benchmark; methods; protein structure. Provides a benchmark or evaluation framework. Likely important for AI-driven bioinformatics. Likely offers methodological or software impact. Potentially important for structural bioinformatics.
10.1126/science.adv7924	DefensePredictor: A machine learning model to discover prokaryotic immune systems	Science	2026-04-02	Antiphage defense systems protect bacteria from viral infection and have inspired important biotechnologies such as CRISPR-Cas9 while also revealing the evolutionary roots of eukaryotic innate immunity. Many systems have been discovered by genomic colocalization, but this approach cannot identify systems outside of defense islands. We present DefensePredictor, a machine learning model that uses protein language model embeddings to classify proteins as defensive. Applying DefensePredictor to 69 diverse Escherichia coli strains, we predicted hundreds of previously unknown systems and experimentally validated 42 of them. Analysis of 1000 diverse prokaryotic genomes identified nearly 3000 protein clusters lacking homology to known systems, revealing a vast, uncharacterized defense repertoire. DefensePredictor will facilitate the comprehensive discovery of antiphage defense systems, which promises to reveal additional connections between prokaryotic and eukaryotic immunity and accelerate biotechnology development.	Peter C. DeWeirdt; Emily M. Mahoney; Michael T. Laub	https://doi.org/10.1126/science.adv7924		0	journal-article	Antiphage defense systems protect bacteria from viral infection and have inspired important biotechnologies such as CRISPR-Cas9 while also revealing the evolutionary roots of eukaryotic innate immunity. Many systems have been discovered by genomic colocalization, but this approach cannot identify systems outside of defense islands. We present DefensePredictor, a machine learning model that uses protein language model embeddings to classify proteins as defensive. Applying DefensePredictor to 69 diverse Escherichia coli strains, we predicted hundreds of previously unknown systems and experimentally validated 42 of them. Analysis of 1000 diverse prokaryotic genomes identified nearly 3000 protein clusters lacking homology to known systems, revealing a vast, uncharacterized defense repertoire. DefensePredictor will facilitate the comprehensive discovery of antiphage defense systems, which promises to reveal additional connections between prokaryotic and eukaryotic immunity and accelerate biotechnology development.		crispr; language model; machine learning	crispr; language model; machine learning	False	0.0	3.0	10.0	10.3	0.0	1.0	0.0	21.3	10.3	True	Antiphage defense systems protect bacteria from viral infection and have inspired important biotechnologies such as CRISPR-Cas9 while also revealing the evolutionary roots of eukaryotic innate immunity.	Many systems have been discovered by genomic colocalization, but this approach cannot identify systems outside of defense islands. We present DefensePredictor, a machine learning model that uses protein language model embeddings to classify proteins as defensive.	Matched keywords: crispr; language model; machine learning. Likely important for AI-driven bioinformatics.
10.1126/science.adx1736	Targeting modulated vascular smooth muscle cells in atherosclerosis via FAP-directed immunotherapy	Science	2026-04-02	Vascular smooth muscle cell (VSMC) diversification drives atherosclerotic coronary artery disease (CAD), but the mechanisms governing these cell state transitions remain unclear. We applied multiomic single-cell profiling, epitope mapping, and spatial transcriptomics across 27 human coronary arteries, identifying fibroblast activation protein (FAP) as a marker of modulated VSMCs. Lineage tracing in mice indicated that FAP + cells originate from Myh11 + VSMCs, and FAP positron emission tomography imaging in CAD patients showed plaque uptake. FAP + cell states resided in the macrophage-rich neo-intima. Therapeutically, we developed an anti-FAP bispecific T cell engager, which reduced plaque burden and remodeled the stromal–immune microenvironment through T cell clonal expansion. Our study delivers a single-cell and spatial atlas of human CAD, establishes FAP as a marker of modulated VSMCs, and highlights immunotherapy for lipid-independent targets.	Junedh M. Amrute; In-Hyuk Jung; Tracy Yamawaki; Wen-Ling Lin; Andrea Bredemeyer; Johanna Diekmann; Sikander Hayat; Xianglong Zhang; Devin L. Wakefield; Xin Luo; Sidrah Maryam; Gyu Seong Heo	https://doi.org/10.1126/science.adx1736		2	journal-article	Vascular smooth muscle cell (VSMC) diversification drives atherosclerotic coronary artery disease (CAD), but the mechanisms governing these cell state transitions remain unclear. We applied multiomic single-cell profiling, epitope mapping, and spatial transcriptomics across 27 human coronary arteries, identifying fibroblast activation protein (FAP) as a marker of modulated VSMCs. Lineage tracing in mice indicated that FAP + cells originate from Myh11 + VSMCs, and FAP positron emission tomography imaging in CAD patients showed plaque uptake. FAP + cell states resided in the macrophage-rich neo-intima. Therapeutically, we developed an anti-FAP bispecific T cell engager, which reduced plaque burden and remodeled the stromal–immune microenvironment through T cell clonal expansion. Our study delivers a single-cell and spatial atlas of human CAD, establishes FAP as a marker of modulated VSMCs, and highlights immunotherapy for lipid-independent targets.		atlas; single-cell; spatial; transcriptomics	atlas; single-cell; spatial; transcriptomics	False	0.0	4.0	10.0	9.6	0.06	1.0	0.0	20.66	9.6	True	Vascular smooth muscle cell (VSMC) diversification drives atherosclerotic coronary artery disease (CAD), but the mechanisms governing these cell state transitions remain unclear.	We applied multiomic single-cell profiling, epitope mapping, and spatial transcriptomics across 27 human coronary arteries, identifying fibroblast activation protein (FAP) as a marker of modulated VSMCs. Lineage tracing in mice indicated that FAP + cells originate from Myh11 + VSMCs, and FAP positron emission tomography imaging in CAD patients showed plaque uptake.	Matched keywords: atlas; single-cell; spatial; transcriptomics. Likely relevant to single-cell analysis workflows. Builds an atlas-scale reference or dataset. Potentially important for spatial omics analysis.
10.1038/s41586-026-10303-2	General scales unlock AI evaluation with explanatory and predictive power	Nature	2026-04-02	Abstract Ensuring safe and effective use of artificial intelligence (AI) requires understanding and anticipating its performance on new tasks, from advanced scientific challenges to transformed workplace activities 1–3 . So far, benchmarking has guided progress in AI but has offered limited explanatory and predictive power for general-purpose AI systems 4–8 , attributed to limited transferability across specific tasks 9–11 . Here we introduce general scales for AI evaluation that elicit demand profiles explaining what capabilities common AI benchmarks truly measure, extract ability profiles quantifying the general strengths and limits of AI systems and robustly predict AI performance for new task instances. Our fully automated methodology builds on 18 rubrics, capturing a broad range of cognitive and intellectual demands, which place different task instances on the same general scales, illustrated on 15 large language models (LLMs) and 63 tasks. Both the demand and the ability profiles on these scales bring new insights such as construct validity through benchmark sensitivity and specificity and explain conflicting claims about whether AI has reasoning capabilities. Ultimately, high predictive power at the instance level becomes possible using the general scales, providing superior estimates over strong black-box baseline predictors, especially in out-of-distribution settings (new tasks and benchmarks). The scales, rubrics, battery, techniques and results presented here constitute a solid foundation for a science of AI evaluation, underpinning the reliable deployment of AI in the years ahead.	Lexin Zhou; Lorenzo Pacchiardi; Fernando Martínez-Plumed; Katherine M. Collins; Yael Moros-Daval; Seraphina Zhang; Qinlin Zhao; Yitian Huang; Luning Sun; Jonathan E. Prunty; Zongqian Li; Pablo Sánchez-García	https://doi.org/10.1038/s41586-026-10303-2		0	journal-article	Abstract Ensuring safe and effective use of artificial intelligence (AI) requires understanding and anticipating its performance on new tasks, from advanced scientific challenges to transformed workplace activities 1–3 . So far, benchmarking has guided progress in AI but has offered limited explanatory and predictive power for general-purpose AI systems 4–8 , attributed to limited transferability across specific tasks 9–11 . Here we introduce general scales for AI evaluation that elicit demand profiles explaining what capabilities common AI benchmarks truly measure, extract ability profiles quantifying the general strengths and limits of AI systems and robustly predict AI performance for new task instances. Our fully automated methodology builds on 18 rubrics, capturing a broad range of cognitive and intellectual demands, which place different task instances on the same general scales, illustrated on 15 large language models (LLMs) and 63 tasks. Both the demand and the ability profiles on these scales bring new insights such as construct validity through benchmark sensitivity and specificity and explain conflicting claims about whether AI has reasoning capabilities. Ultimately, high predictive power at the instance level becomes possible using the general scales, providing superior estimates over strong black-box baseline predictors, especially in out-of-distribution settings (new tasks and benchmarks). The scales, rubrics, battery, techniques and results presented here constitute a solid foundation for a science of AI evaluation, underpinning the reliable deployment of AI in the years ahead.		language model; llm; benchmark	language model; llm; benchmark	False	0.0	3.0	10.0	9.5	0.0	1.0	0.0	20.5	9.5	True	Abstract Ensuring safe and effective use of artificial intelligence (AI) requires understanding and anticipating its performance on new tasks, from advanced scientific challenges to transformed workplace activities 1–3 .	So far, benchmarking has guided progress in AI but has offered limited explanatory and predictive power for general-purpose AI systems 4–8 , attributed to limited transferability across specific tasks 9–11 . Here we introduce general scales for AI evaluation that elicit demand profiles explaining what capabilities common AI benchmarks truly measure, extract ability profiles quantifying the general strengths and limits of AI systems and robustly predict AI performance for new task instances.	Matched keywords: language model; llm; benchmark. Provides a benchmark or evaluation framework. Likely important for AI-driven bioinformatics. Likely offers methodological or software impact.
10.1038/s43588-026-00977-z	Benchmarking alignment methods for spatial transcriptomics data	Nature Computational Science	2026-04-03		Yunzhi Yan; Tianyi Gu; Chengcheng Sun; Yinghao Zhang; Yan Cui; Senlin Lin; Qi Zou; Yixuan Du; Chuangyi Han; Kairan Kang; Sijie Li; Yihan Zhao	https://doi.org/10.1038/s43588-026-00977-z		0	journal-article			benchmark; spatial; methods; transcriptomics	benchmark; spatial; methods; transcriptomics	False	0.0	4.0	8.4	9.0	0.0	0.0	1.5	18.9	9.0	True	This paper appears to present a potentially high-impact contribution in bioinformatics or computational biology published in Nature Computational Science.	Abstract unavailable from the retrieval sources used by this script.	Matched keywords: benchmark; spatial; methods; transcriptomics. Provides a benchmark or evaluation framework. Likely offers methodological or software impact. Potentially important for spatial omics analysis.
10.1038/s42256-026-01206-y	Predicting new research directions in materials science using large language models and concept graphs	Nature Machine Intelligence	2026-04-01	Abstract Due to an exponential increase in published research articles, it is impossible for individual scientists to read all publications, even within their own research field. Here we investigate the use of large language models to extract the main concepts and semantic information from scientific abstracts in the domain of materials science to identify links that were not noticed by humans and to suggest inspiring near and/or mid-term future research directions. We show that large language models can extract concepts more efficiently than automated keyword extraction methods to build a concept graph as an abstraction of the scientific literature. A machine learning model is trained to predict emerging combinations of concepts, that is, new research ideas, based on historical data. We demonstrate that integrating semantic concept information leads to increased prediction performance. The applicability of our model is demonstrated in qualitative interviews with domain experts based on individualized model suggestions. We show that the model can inspire materials scientists in their creative thinking process by predicting innovative combinations of concepts that have not yet been investigated.	Thomas Marwitz; Alexander Colsmann; Ben Breitung; Christoph Brabec; Christoph Kirchlechner; Eva Blasco; Gabriel Cadilha Marques; Horst Hahn; Michael Hirtz; Pavel A. Levkin; Yolita M. Eggeler; Tobias Schlöder	https://doi.org/10.1038/s42256-026-01206-y		1	journal-article	Abstract Due to an exponential increase in published research articles, it is impossible for individual scientists to read all publications, even within their own research field. Here we investigate the use of large language models to extract the main concepts and semantic information from scientific abstracts in the domain of materials science to identify links that were not noticed by humans and to suggest inspiring near and/or mid-term future research directions. We show that large language models can extract concepts more efficiently than automated keyword extraction methods to build a concept graph as an abstraction of the scientific literature. A machine learning model is trained to predict emerging combinations of concepts, that is, new research ideas, based on historical data. We demonstrate that integrating semantic concept information leads to increased prediction performance. The applicability of our model is demonstrated in qualitative interviews with domain experts based on individualized model suggestions. We show that the model can inspire materials scientists in their creative thinking process by predicting innovative combinations of concepts that have not yet been investigated.		language model; methods; machine learning	language model; methods; machine learning	False	0.0	3.0	8.2	8.1	0.03	1.0	0.0	17.33	8.1	True	Abstract Due to an exponential increase in published research articles, it is impossible for individual scientists to read all publications, even within their own research field.	Here we investigate the use of large language models to extract the main concepts and semantic information from scientific abstracts in the domain of materials science to identify links that were not noticed by humans and to suggest inspiring near and/or mid-term future research directions. We show that large language models can extract concepts more efficiently than automated keyword extraction methods to build a concept graph as an abstraction of the scientific literature.	Matched keywords: language model; methods; machine learning. Likely important for AI-driven bioinformatics. Likely offers methodological or software impact.
10.1126/science.adv8275	Protein and genomic language models uncover the unexplored diversity of bacterial immunity	Science	2026-04-02	The bacterial pangenome contains a vast diversity of antiphage systems, whose overall extent is still unknown. In this study, we developed complementary machine learning approaches to systematically predict antiphage function from genomic context, protein sequence, or their combination, achieving up to 99% precision and 92% recall. We validated these models experimentally in Escherichia and Streptomyces with the discovery of 12 antiphage systems. Applied to over 32,000 bacterial genomes, these models expand the predicted antiphage repertoire, with ~1.5% of bacterial genomes devoted to defense and more than 85% of predicted protein families remaining uncharacterized. We provide an interactive catalog of more than 19,000 candidate operon families for experimental follow-up. Together, these findings show that most molecular diversity in bacterial immunity remains uncharacterized and provide a foundation for its systematic exploration.	Ernest Mordret; Alexandre Hervé; Florian Tesson; Hugo Vaysset; Tyler Clabby; Arthur Loubat; Helena Shomar; Remi Planel; Rachel Lavenir; Jean Cury; Aude Bernheim	https://doi.org/10.1126/science.adv8275		0	journal-article	The bacterial pangenome contains a vast diversity of antiphage systems, whose overall extent is still unknown. In this study, we developed complementary machine learning approaches to systematically predict antiphage function from genomic context, protein sequence, or their combination, achieving up to 99% precision and 92% recall. We validated these models experimentally in Escherichia and Streptomyces with the discovery of 12 antiphage systems. Applied to over 32,000 bacterial genomes, these models expand the predicted antiphage repertoire, with ~1.5% of bacterial genomes devoted to defense and more than 85% of predicted protein families remaining uncharacterized. We provide an interactive catalog of more than 19,000 candidate operon families for experimental follow-up. Together, these findings show that most molecular diversity in bacterial immunity remains uncharacterized and provide a foundation for its systematic exploration.		language model; machine learning	language model; machine learning	False	0.0	2.0	10.0	6.3	0.0	1.0	0.0	17.3	6.3	True	The bacterial pangenome contains a vast diversity of antiphage systems, whose overall extent is still unknown.	In this study, we developed complementary machine learning approaches to systematically predict antiphage function from genomic context, protein sequence, or their combination, achieving up to 99% precision and 92% recall. We validated these models experimentally in Escherichia and Streptomyces with the discovery of 12 antiphage systems.	Matched keywords: language model; machine learning. Likely important for AI-driven bioinformatics.
10.1038/s41587-026-03074-8	Unpaired data as a first-order challenge in single-cell and spatial proteomics	Nature Biotechnology	2026-03-27		Mikaela Koutrouli; Francesca Finotello; Erwin M. Schoof; Panos Roussos; Wouter-Michiel Vierdag; Lucas Diedrich; Matthias Meyer-Bender; Malte Kuehl; Jose Nimo; Harald Vöhringer; Theodoros Visvikis; Vincenth Brennsteiner	https://doi.org/10.1038/s41587-026-03074-8		0	journal-article			single-cell; spatial; proteomics	single-cell; spatial; proteomics	False	0.0	3.0	9.5	7.2	0.0	0.0	0.0	16.7	7.199999999999999	True	This paper appears to present a potentially high-impact contribution in bioinformatics or computational biology published in Nature Biotechnology.	Abstract unavailable from the retrieval sources used by this script.	Matched keywords: single-cell; spatial; proteomics. Likely relevant to single-cell analysis workflows. Potentially important for spatial omics analysis.
